"","T50","M50","rate","range","FC","cv.crit","degF","spar","pen.crit","lambda","anova.p","kw.p","SidakP.t0.5","SidakP.t1","SidakP.t3","SidakP.t10","anova.FDR","kw.FDR","scaled_T50","tp.designation"
"AMP",3.85600020945498,1.05754838853641,0.385600020945498,1.56870022008761,2.75317326318865,6.43186392926699,4.16500211366237,0.465240507826247,130.499561441783,0.000136934366623602,0.0000000825385540615569,0.000183562845997689,0.0226284500719937,0.0049994264400464,0.00000036979229756435,0.000000080066184424853,0.0000179934047854194,0.0416687660414753,-0.437491272405085,"t0.5"
"Anserine",4.45285908605959,1.12371106943928,0.445285908605959,0.457590486581503,0.595811430659067,4.4894104651901,4.34374691608795,0.433637075174182,89.7270106175627,0.0000809443441757447,0.00000021629578137314,0.000171103560783668,0.154914323094464,0.763429463657421,0.0185812356283074,0.0000193993201945947,0.0000460710014324788,0.0390116118586762,-0.953339423018773,"t3"
"Anthranilic acid",3.47072101355427,1.5812280803476,0.347072101355427,0.139285745906277,-0.244347650587785,15.4737559664321,2.77525849995579,0.604376733778301,351.634242690222,0.00138590262461689,0.914927777355654,0.840505207519807,0.931788188063587,0.995909717678778,0.978047408810113,0.999906660005896,1,1,-0.104505421870492,NA
"Arachidic acid (Eicosanoic acid)",2.60229528212209,0.988929436161931,0.260229528212209,0.104151348464192,0.0660822888519822,16.1927153990979,2.77505485146741,0.610147817456236,351.950448868423,0.00152555257854365,0.809497294444595,0.741597991389708,0.923269212709825,0.999967911543459,0.827771871244866,0.997988475956236,1,1,0.646050237204321,NA
"Arachidonate",3.15521669249653,0.921279199265763,0.315521669249653,0.0586372174815465,0.0552140022693189,16.9203095293469,2.00000056851263,1.49999995450348,391.673813884123,4095.99689990735,0.961285924479417,0.906042679046611,0.927432908499506,0.998863541576344,0.999688976973431,0.986498582159335,1,1,0.168175988941592,NA
"Arginine",3.9749755181074,0.922763850660418,0.39749755181074,0.208221774103729,0.326936295101922,14.3535876252394,2.0000005227514,1.49999995834446,332.258958911361,4095.99716162815,0.018818013872263,0.0280915239651311,0.995991064278808,0.402801804098793,0.244300725139722,0.461136330235834,1,1,-0.54031824766293,NA
"Argininosuccinic acid",2.33557870113278,1.18934792828587,0.233557870113278,-0.962264239554367,-1.14623506447058,13.9891078394663,2.00000063450283,1.49999995521788,337.73701564002,4095.99694858609,0.000165752226625831,0.00730764403408292,0.00577588656867301,0.00100256335276935,0.000132010862112301,0.000217139274511428,0.0298354007926495,1,0.876565791943202,"t0.5"
"Asparagine",4.11078619780895,1.08603314475923,0.411078619780895,0.391903429232492,0.526369989520995,9.86629330418967,2.0000004574261,1.4999999595295,238.200501391108,4095.99724237583,0.00805531946025889,0.0211039166600372,0.872579702978101,0.958947420802171,0.873441246927736,0.0300715910346261,1,1,-0.657695555270666,"t10"
"Aspartate",0.987556643672297,0.96794095162348,0.0987556643672297,-0.769493281834334,-1.21378013204258,4.73217920825003,4.53771090727348,0.437987495291339,88.4311847836423,0.0000870195985597349,0.000109857545793328,0.00291381002145625,0.170962206196466,0.194548443927693,0.00679535441833232,0.0000179755845811563,0.0203236459717657,0.530313423905038,2.04162291446313,"t3"
"ATP",0.696597706069692,1.0452940872001,0.0696597706069692,-0.837207950442855,-1.22399096066463,5.36020960963258,3.84396968840022,0.480203287084595,111.705581440619,0.00017563632701106,0.000000519360908131806,0.000303079704651351,0.00679171896309626,0.00322207156186676,0.0000250879310232724,0.0000000732609465462593,0.000108546429799547,0.0657682959093432,2.2930904484984,"t0.5"
