"","T50","M50","rate","range","FC","GCV","degF","spar","pen.crit","lambda","scaled_T50"
"Capric acid",0.137800095371972,1.11614479811091,0.0137800095371972,0.12887311744137,0.166762931176196,4.73535169255186,27.9549056676145,-0.474804777866169,0.178346761067985,2.21283269060776e-11,0.661234954527898
"Caproic acid",3.25927204042512,1.08523068257018,0.325927204042512,0.0841796941339685,0.105314690036713,14.5473995979687,2.00000060820078,1.49999996464923,365.691511349698,4095.99759122977,-0.0183041537373405
"Caprylic acid",2.89792310290002,1.0832720323309,0.289792310290002,0.0213195161508448,0.00506677902512184,15.6556604753608,2.00000052390567,1.49999997399703,409.134578445528,4095.99822818043,0.0603608924654753
"CAR(10:0)",2.94166179028914,0.820303597620244,0.294166179028914,0.51995946408174,0.947076895716809,12.272329405005,2.00000081766324,1.49999995647244,296.289076999376,4095.9970340704,0.0508390549643578
"CAR(12:0)",2.5018606388606,0.77386680673921,0.25018606388606,0.150515221564242,-0.0340218427651598,15.409497048116,4.77929961113922,0.424429167708176,281.799479809457,6.9448353914849e-05,0.146583014069743
"CAR(14:0)",2.9541556996652,0.776724106851344,0.29541556996652,0.171760078045451,0.320338537022105,12.7869602699647,2.00000045982297,1.49999995501176,283.280339741241,4095.99693454126,0.0481191522435889
"CAR(16:0)",4.73622636013909,1.1859731581435,0.473622636013909,0.714924098527026,0.897551973952381,9.0455444098822,5.08773782651566,0.395656675741383,169.594833931321,4.30317255337982e-05,-0.339834585224154
"CAR(18:0)",0.530482135526086,1.28085561783084,0.0530482135526086,0.84160444839255,0.984442845953473,3.33508231916932,27.9997404105579,-0.900192872952202,8.02643285169324e-09,1.86912671441581e-14,0.575748745426775
"CAR(18:1)",4.3061133466697,1.48468548844521,0.43061133466697,0.740876858557797,0.735446405303569,11.4180136283039,2.48731345406772,0.634655899537395,265.426886156717,0.00229346020318998,-0.246199717196761
"CAR(20:4)",3.70318387882085,1.42129770482641,0.370318387882085,0.660031949143787,0.682413906886856,9.55015289131832,2.51608090354924,0.647766395043188,212.035428272268,0.0028524028798627,-0.114943002370874
"CAR(3:0)",4.13831751783706,1.12420447718266,0.413831751783706,0.829003603804594,1.11643121463098,7.68840191188804,2.64567335331115,0.611464537457001,176.515240606463,0.00155933746505232,-0.209670852000242
"CAR(4:0)",4.36074664994329,1.13700313905397,0.436074664994329,1.1210735995616,1.558137243506,6.55578694855759,3.50278426660261,0.504853404841613,146.964469245847,0.000264669893458884,-0.258093293958503
"CAR(5:0)",10.218550981469,1.07870223801705,1.0218550981469,0.655294652005631,0.904964940349031,2.81516439346735,27.9999965955719,-1.38856057599875,1.16529008664656e-12,5.5375655982636e-18,-1.53332728673733
